Position,Year,Make,Model,Time,
1,2009,Radical,SR8 LM,06:48.0,
2,2005,Radical,SR8,06:56.1,
3,2013,Porsche,918 Spyder,06:57.0,
4,2015,Lamborghini,Aventador LP 750-4 Superveloce,06:59.7,
5,2015,Nissan,GT-R Nismo,07:08.7,
6,2009,Gumpert,Apollo Speed,07:11.6,
7,2010,Dodge,Viper SRT-10 ACR,07:12.1,
8,2012,Lexus,LFA Nurburgring Package,07:14.6,
9,2005,Donkervoort,D8 RS,07:14.9,
10,2010,Porsche,911 GT2 RS,07:18.0,
11,2003,Radical,SR3 Turbo,07:19.0,
12,2013,Nissan,GT-R,07:19.1,
13,2012,Chevrolet,Corvette ZR1,07:19.6,
14,2015,Ferrari,488 GTB,07:21.6,
15,2009,Dodge,Viper ACR,07:22.1,
16,2011,Chevrolet,Corvette Z06,07:22.7,
17,2007,Gumpert,Apollo Sport,07:24.0,
18,2011,Nissan,GT-R,07:24.2,
19,2004,Maserati,MC12,07:24.3,
20,2005,Pagani,Zonda F Clubsport,07:24.4,
21,2011,Lamborghini,Aventador LP700-4,07:25.0,
22,2002,Ferrari,Enzo,07:25.2,
23,2012,KTM,X-Bow R,07:25.7,
24,2014,Mercedes,SLS AMG Black Series,07:26.4,
25,2008,Nissan,GT-R,07:26.7,
26,2011,Porsche,911 GT3 RS 4.0,07:27.0,
27,2016,BMW,M4 GTS,07:27.9,
28,2009,Ferrari,458 Italia,07:28.0,
29,2010,McLaren,MP4-12C,07:28.0,
30,2003,Porsche,Carrera GT,07:28.7,
31,2017,Chevy,Camaro ZL1,07:29.6,
32,2012,Mercedes,SLS AMG GT,07:30.0,
33,2007,Porsche,911 GT2,07:31.0,
34,2016,Alfa Romeo,Giulia Quadrifoglio,07:32.0,
35,2010,Porsche,911 Turbo S,07:32.0,
36,2015,Ford,Shelby GT350R,07:32.2,
37,2005,Pagani,Zonda F,07:33.0,
38,2010,Porsche,911 GT3 RS,07:33.0,
39,2006,Koenigsegg,CCX,07:33.6,
40,2004,Koenigsegg,CCR,07:34.0,
41,2010,Audi,R8 GT,07:34.0,
42,2009,Nissan,GT-R Spec-V,07:34.5,
43,2005,RUF,RT12,07:35.0,
44,2014,Chevrolet,Camaro Z/28,07:37.5,
45,2011,Porsche,911 Carrera S,07:37.9,
46,2017,Porsche,e Panamera Turbo,07:38.0,
47,2006,Porsche,911 Turbo,07:38.0,
48,2010,Lexus,LF-A,07:38.0,
49,2010,Lamborghini,Gallardo LP 570-4 Superleggera,07:38.0,
50,2015,Alfa Romeo,Giulia Quadrifoglio,07:39.0,
51,2007,Ferrari,430 Scuderia,07:39.0,
52,2006,Lamborghini,Murcielago LP640,07:40.0,
53,2003,McLaren,Mercedes SLR,07:40.0,
54,2009,Porsche,911 GT3,07:40.0,
55,2011,Chevrolet,Camaro ZL-1,07:41.3,
56,2006,Porsche,911 GT3,07:42.0,
57,2002,Radical,SR3,07:42.0,
58,2009,Lamborghini,Murcielago LP 670-4 SuperVeloce,07:42.0,
59,2005,Chevrolet,Corvette Z06,07:42.9,
60,2003,Porsche,911 GT3 RS,07:43.0,
61,2002,Pagani,Zonda C12 S,07:44.0,
62,2009,Audi,R8 V10 5.2 FSI,07:44.0,
63,2007,Mercedes,CLK 63 Black Series,07:45.0,
64,2010,Gardner,Douglas GD T70 Spyder,07:45.0,
65,2011,Mercedes,C 63 AMG Coupe Black Series,07:45.0,
66,2000,Porsche,911 GT2,07:46.0,
67,2007,Lamborghini,Gallardo Superleggera,07:46.0,
68,1992,Jaguar,XJ220,07:46.4,
69,2007,Lamborghini,Murcielago LP-640 E-gear,07:47.0,
70,2006,Ferrari,599 GTB Fiorano,07:47.0,
71,2008,Wiesmann,GT MF5,07:47.0,
72,2009,Porsche,911 Turbo,07:47.0,
73,2006,Porsche,911 GT3 RS,07:48.0,
74,2010,BMW,M3 GTS,07:48.0,
75,2010,Alpina,B3 GT3,07:49.0,
76,2016,Golf,GTI Clubsport S,07:49.2,
77,2002,Lamborghini,Murcielago,07:50.0,
78,2003,BMW,M3 CSL,07:50.0,
79,2008,Porsche,911 Carrera S,07:50.0,
80,2015,Honda,Civic Type R,07:50.6,
81,2009,Mercedes,SL65 AMG Black Series,07:51.0,
82,2011,Jaguar,XKR-S,07:51.0,
83,2015,BMW,M4,07:52.0,
84,2003,Lamborghini,Gallardo,07:52.0,
85,2004,Ford,GT,07:52.0,
86,2011,Porsche,Panamera Turbos S,07:52.0,
87,2008,Lamborghini,Gallardo LP560-4,07:52.0,
88,2004,Mercedes,CLK DTM,07:54.0,
89,2003,Porsche,911 GT3,07:54.0,
90,2015,Renault,Megane RS 275 Trophy-R,07:54.4,
91,2005,Ferrari,F430,07:55.0,
92,2010,Subaru,WRX STI,07:55.0,
93,1999,Caterham,R500 1.8L K Series,07:55.0,
94,2011,BMW,M5,07:55.0,
95,2000,Porsche,911 Turbo,07:56.0,
96,2003,Ferrari,360 CS,07:56.0,
97,2009,Ferrari,California GT,07:56.0,
98,2009,Porsche,Panamera Sport Chrono Turbo,07:56.0,
99,2009,Porsche,Panamera Turbo,07:56.0,
100,2002,Chevrolet,Corvette Z06,07:56.0,